,precision,recall,f1-score,support
admiration,0.6743589743589744,0.5218253968253969,0.5883668903803132,504.0
amusement,0.7581227436823105,0.7954545454545454,0.7763401109057301,264.0
anger,0.0,0.0,0.0,198.0
annoyance,0.0,0.0,0.0,320.0
approval,0.0,0.0,0.0,351.0
caring,0.0,0.0,0.0,135.0
confusion,0.0,0.0,0.0,153.0
curiosity,0.0,0.0,0.0,284.0
desire,0.0,0.0,0.0,83.0
disappointment,0.0,0.0,0.0,151.0
disapproval,0.0,0.0,0.0,267.0
disgust,0.0,0.0,0.0,123.0
embarrassment,0.0,0.0,0.0,37.0
excitement,0.0,0.0,0.0,103.0
fear,0.0,0.0,0.0,78.0
gratitude,0.949685534591195,0.8579545454545454,0.9014925373134328,352.0
grief,0.0,0.0,0.0,6.0
joy,1.0,0.012422360248447204,0.024539877300613498,161.0
love,0.7912621359223301,0.6848739495798319,0.7342342342342343,238.0
nervousness,0.0,0.0,0.0,23.0
optimism,0.9333333333333333,0.07526881720430108,0.13930348258706468,186.0
pride,0.0,0.0,0.0,16.0
realization,0.0,0.0,0.0,145.0
relief,0.0,0.0,0.0,11.0
remorse,0.0,0.0,0.0,56.0
sadness,0.0,0.0,0.0,156.0
surprise,0.0,0.0,0.0,141.0
neutral,0.6207115628970775,0.5467263570229435,0.5813745908955668,1787.0
micro avg,0.6938555515630614,0.3051034918628535,0.42383669885864794,6329.0
macro avg,0.20455265302804362,0.12480449899250042,0.13377327584346269,6329.0
weighted avg,0.3960250571704449,0.3051034918628535,0.3258558358113189,6329.0
samples avg,0.3525889073152755,0.32527178920213745,0.33380627725569684,6329.0
