,precision,recall,f1-score,support
admiration,0.53156146179402,0.6349206349206349,0.5786618444846293,504.0
amusement,0.6905537459283387,0.803030303030303,0.7425569176882661,264.0
anger,0.3648068669527897,0.4292929292929293,0.39443155452436196,198.0
annoyance,0.2224622030237581,0.321875,0.26309067688378035,320.0
approval,0.1950354609929078,0.31339031339031337,0.24043715846994534,351.0
caring,0.2422360248447205,0.28888888888888886,0.2635135135135135,135.0
confusion,0.2719298245614035,0.40522875816993464,0.32545931758530183,153.0
curiosity,0.33866666666666667,0.4471830985915493,0.38543247344461307,284.0
desire,0.45,0.3253012048192771,0.3776223776223776,83.0
disappointment,0.2064516129032258,0.2119205298013245,0.20915032679738563,151.0
disapproval,0.248,0.34831460674157305,0.2897196261682243,267.0
disgust,0.43478260869565216,0.4065040650406504,0.42016806722689076,123.0
embarrassment,0.25,0.16216216216216217,0.19672131147540983,37.0
excitement,0.2222222222222222,0.3300970873786408,0.265625,103.0
fear,0.6,0.5769230769230769,0.5882352941176471,78.0
gratitude,0.8861111111111111,0.90625,0.8960674157303371,352.0
grief,0.5,0.16666666666666666,0.25,6.0
joy,0.4218009478672986,0.5527950310559007,0.478494623655914,161.0
love,0.6925925925925925,0.7857142857142857,0.7362204724409449,238.0
nervousness,0.21428571428571427,0.13043478260869565,0.16216216216216217,23.0
optimism,0.4780701754385965,0.5860215053763441,0.5265700483091788,186.0
pride,0.6666666666666666,0.25,0.36363636363636365,16.0
realization,0.2631578947368421,0.27586206896551724,0.26936026936026936,145.0
relief,0.09090909090909091,0.09090909090909091,0.09090909090909091,11.0
remorse,0.5774647887323944,0.7321428571428571,0.6456692913385826,56.0
sadness,0.41935483870967744,0.5,0.45614035087719296,156.0
surprise,0.40425531914893614,0.40425531914893614,0.40425531914893614,141.0
neutral,0.5476827094474154,0.6877448237269166,0.6097742495658646,1787.0
micro avg,0.4499100950423838,0.5534839627113288,0.4963513992206872,6329.0
macro avg,0.4082521624368586,0.4312081818023739,0.4082173256120423,6329.0
weighted avg,0.4620848082260763,0.5534839627113288,0.501244507299514,6329.0
samples avg,0.4603709845832566,0.5719396842945765,0.4879118516763625,6329.0
