,precision,recall,f1-score,support
admiration,0.5232067510548524,0.7380952380952381,0.6123456790123457,504.0
amusement,0.7169230769230769,0.8825757575757576,0.7911714770797963,264.0
anger,0.3170731707317073,0.5909090909090909,0.4126984126984127,198.0
annoyance,0.21763085399449036,0.49375,0.30210325047801145,320.0
approval,0.20046893317702227,0.48717948717948717,0.2840531561461794,351.0
caring,0.17325227963525835,0.4222222222222222,0.24568965517241378,135.0
confusion,0.22535211267605634,0.6274509803921569,0.3316062176165803,153.0
curiosity,0.29874776386404295,0.5880281690140845,0.3962040332147094,284.0
desire,0.3191489361702128,0.5421686746987951,0.4017857142857143,83.0
disappointment,0.14492753623188406,0.33112582781456956,0.20161290322580644,151.0
disapproval,0.214992927864215,0.5692883895131086,0.31211498973305957,267.0
disgust,0.3689839572192513,0.5609756097560976,0.44516129032258067,123.0
embarrassment,0.2558139534883721,0.2972972972972973,0.275,37.0
excitement,0.1918819188191882,0.5048543689320388,0.27807486631016043,103.0
fear,0.5045871559633027,0.7051282051282052,0.5882352941176471,78.0
gratitude,0.8407310704960835,0.9147727272727273,0.8761904761904762,352.0
grief,0.2727272727272727,0.5,0.35294117647058826,6.0
joy,0.38283828382838286,0.7204968944099379,0.5,161.0
love,0.6622516556291391,0.8403361344537815,0.7407407407407407,238.0
nervousness,0.21428571428571427,0.2608695652173913,0.23529411764705882,23.0
optimism,0.3494318181818182,0.6612903225806451,0.45724907063197023,186.0
pride,0.5454545454545454,0.375,0.4444444444444444,16.0
realization,0.1791907514450867,0.42758620689655175,0.2525458248472505,145.0
relief,0.08571428571428572,0.2727272727272727,0.13043478260869565,11.0
remorse,0.5108695652173914,0.8392857142857143,0.6351351351351351,56.0
sadness,0.3473684210526316,0.6346153846153846,0.4489795918367347,156.0
surprise,0.3387096774193548,0.5957446808510638,0.4318766066838046,141.0
neutral,0.5503724029792239,0.7856743144935646,0.6473029045643154,1787.0
micro avg,0.387400434467777,0.6762521725391057,0.49260516775047475,6329.0
macro avg,0.3554620282944237,0.5774803048690066,0.42967827897195104,6329.0
weighted avg,0.4352481295990117,0.6762521725391057,0.5221644874179137,6329.0
samples avg,0.4535856870848579,0.6938148762361034,0.5169702633218388,6329.0
